timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1649943000000,19.09,19.155,18.988,19.576,18.695
1649943300000,19.223,19.253,19.093,19.802,18.721
1649943600000,19.3,19.381,19.099,20.099,18.921
1649943900000,19.369,19.43,19.156,20.178,18.985
1649944200000,19.307,19.454,19.197,20.134,19.279
1649944500000,19.402,19.453,19.255,20.286,19.375
1649944800000,19.355,19.488,19.27,20.267,19.356
1649945100000,19.384,19.476,19.266,20.252,19.375
1649945400000,19.347,19.492,19.268,20.161,19.513
1649945700000,19.252,19.485,19.285,20.13,19.458
1649946000000,19.343,19.523,19.237,20.254,19.593
1649946300000,19.323,19.552,19.319,20.293,19.592
1649946600000,19.405,19.594,19.353,20.349,19.604
1649946900000,19.459,19.61,19.441,20.415,19.556
1649947200000,19.465,19.642,19.445,20.374,19.641
1649947500000,19.425,19.688,19.378,20.297,19.501
1649947800000,19.364,19.579,19.406,20.002,19.446
1649948100000,19.292,19.623,19.433,19.921,19.44
1649948400000,19.413,19.788,19.471,20.014,19.6
1649948700000,19.587,20.115,19.523,20.089,19.951
1649949000000,19.629,20.139,19.617,20.204,19.967
1649949300000,19.656,20.201,19.638,20.337,20.069
1649949600000,19.688,20.242,19.705,20.473,20.024
1649949900000,19.742,20.271,19.73,20.591,20.058
1649950200000,19.786,20.353,19.753,20.603,20.162
1649950500000,19.841,20.39,19.814,20.661,20.266
1649950800000,19.91,20.44,19.8,20.727,20.276
1649951100000,20.013,20.437,19.729,20.679,20.346
1649951400000,19.959,20.506,19.729,20.685,20.301
1649951700000,19.923,20.498,19.817,20.745,20.332
1649952000000,19.841,20.488,19.812,20.775,20.306
1649952300000,19.833,20.527,19.801,20.771,20.241
1649952600000,19.92,20.559,19.759,20.869,20.087
1649952900000,19.856,20.485,19.775,20.933,19.998
1649953200000,19.906,20.31,19.716,20.81,19.94
1649953500000,19.779,20.182,19.802,20.876,19.829
1649953800000,19.895,20.332,19.546,20.991,19.849
1649954100000,20.301,20.563,19.541,20.974,20.003
1649954400000,20.317,20.709,19.603,21.318,20.17
1649954700000,20.129,20.884,19.629,21.309,20.288
1649955000000,20.153,20.975,19.618,21.397,20.485
1649955300000,20.232,21.068,19.607,21.439,20.449
1649955600000,20.329,21.14,19.621,21.568,20.29
1649955900000,20.361,21.189,19.631,21.564,20.229
1649956200000,20.393,21.17,19.662,21.681,20.169
1649956500000,20.425,21.159,19.643,21.644,20.222
1649956800000,20.312,21.165,19.642,21.606,20.2
1649957100000,20.311,21.206,19.676,21.632,20.216
1649957400000,20.35,21.245,19.664,21.598,20.194
1649957700000,20.369,21.215,19.668,21.65,20.118
1649958000000,20.365,21.305,19.698,21.672,20.168
1649958300000,20.523,21.389,19.792,21.721,20.165
1649958600000,20.278,21.15,19.662,21.585,19.765
1649958900000,20.15,20.823,19.478,21.637,19.601
1649959200000,19.982,20.694,19.407,21.375,19.499
1649959500000,19.949,20.609,19.387,21.298,19.391
1649959800000,19.84,20.544,19.46,21.225,19.305
1649960100000,19.737,20.489,19.452,21.107,19.319
1649960400000,19.662,20.499,19.462,21.113,19.294
1649960700000,19.642,20.484,19.41,21.316,19.27
1649961000000,19.654,20.509,19.425,21.137,19.229
1649961300000,19.605,20.48,19.493,21.144,19.244
1649961600000,19.581,20.497,19.456,21.097,19.217
1649961900000,19.517,20.455,19.453,21.012,19.216
1649962200000,19.521,20.452,19.449,21.044,19.247
1649962500000,19.545,20.425,19.415,21,19.2
1649962800000,19.52,20.418,19.41,20.919,19.158
1649963100000,19.509,20.409,19.428,20.876,19.186
1649963400000,19.44,20.346,19.456,20.824,19.127
